,PM2.5,YEAR,MO,DY,HR,PS,WS2M,WD2M,WS10M,WD10M,PRECTOTCORR,RH2M,QV2M,T2M
159,,2022,1,7,15,101.48,3.96,71.2,4.88,71.2,0.06,95.8,0.29,-27.46
160,,2022,1,7,16,101.46,3.78,75.3,4.68,75.4,0.07,96.17,0.29,-27.5
161,,2022,1,7,17,101.45,3.36,76.7,4.17,76.7,0.08,96.27,0.29,-27.51
162,,2022,1,7,18,101.48,2.67,72.1,3.36,71.9,0.08,96.29,0.29,-27.51
163,,2022,1,7,19,101.51,2.35,65.1,2.98,65.2,0.1,96.22,0.29,-27.5
164,,2022,1,7,20,101.5,2.67,65.9,3.31,65.8,0.14,98.83,0.3,-27.43
165,,2022,1,7,21,101.47,3.09,71.9,3.79,72.0,0.14,97.3,0.3,-27.28
166,,2022,1,7,22,101.43,3.21,80.1,3.93,80.2,0.11,98.28,0.31,-27.06
167,,2022,1,7,23,101.39,3.21,86.4,3.93,86.5,0.11,99.18,0.32,-26.84
168,,2022,1,8,0,101.35,3.1,91.5,3.81,91.5,0.12,97.06,0.32,-26.63
169,,2022,1,8,1,101.34,2.71,95.5,3.37,95.6,0.14,97.98,0.33,-26.42
170,,2022,1,8,2,101.35,2.35,96.6,2.94,96.4,0.17,96.22,0.33,-26.24
171,,2022,1,8,3,101.35,2.32,94.9,2.87,95.0,0.2,97.35,0.34,-26.06
172,,2022,1,8,4,101.32,2.63,97.9,3.2,97.9,0.2,95.68,0.34,-25.89
173,,2022,1,8,5,101.27,2.96,103.3,3.59,103.4,0.17,96.37,0.35,-25.68
174,,2022,1,8,6,101.23,3.07,109.4,3.74,109.4,0.15,96.92,0.36,-25.46
175,,2022,1,8,7,101.18,3.01,117.5,3.7,117.5,0.14,95.14,0.36,-25.28
176,,2022,1,8,8,101.14,2.74,124.9,3.42,125.0,0.13,96.38,0.37,-25.14
177,,2022,1,8,9,101.11,2.49,130.9,3.13,131.0,0.14,95.68,0.37,-25.07
178,,2022,1,8,10,101.06,2.83,134.7,3.51,134.8,0.13,92.77,0.36,-25.04
179,,2022,1,8,11,101.0,3.27,136.4,4.07,136.4,0.04,91.52,0.36,-24.91
180,,2022,1,8,12,100.98,2.88,142.6,3.74,142.6,0.0,91.41,0.36,-24.9
181,,2022,1,8,13,100.99,2.42,151.8,3.35,151.7,0.0,91.49,0.35,-25.19
182,,2022,1,8,14,100.96,2.38,155.7,3.39,155.8,0.0,90.75,0.34,-25.4
183,,2022,1,8,15,100.91,2.63,154.6,3.67,154.8,0.0,90.8,0.34,-25.41
184,,2022,1,8,16,100.87,2.98,154.1,4.01,154.3,0.0,89.23,0.34,-25.24
185,,2022,1,8,17,100.86,3.43,157.4,4.43,157.6,0.0,90.19,0.35,-25.06
186,,2022,1,8,18,100.82,4.17,158.8,5.18,159.1,0.0,89.26,0.35,-24.96
187,,2022,1,8,19,100.76,4.87,159.8,5.93,159.9,0.0,90.49,0.36,-24.82
188,,2022,1,8,20,100.74,5.21,161.6,6.3,161.7,0.01,88.77,0.36,-24.63
189,,2022,1,8,21,100.72,5.31,162.1,6.4,162.2,0.01,91.93,0.38,-24.44
190,,2022,1,8,22,100.68,5.54,161.1,6.66,161.1,0.02,92.19,0.39,-24.21
191,,2022,1,8,23,100.63,5.86,158.6,7.05,158.6,0.03,92.2,0.4,-23.96
192,,2022,1,9,0,100.57,6.22,155.9,7.49,155.9,0.03,92.49,0.41,-23.75
193,,2022,1,9,1,100.51,6.6,155.6,7.94,155.7,0.04,92.84,0.42,-23.55
194,,2022,1,9,2,100.46,6.88,156.5,8.29,156.5,0.05,93.14,0.43,-23.35
195,,2022,1,9,3,100.42,7.08,156.6,8.52,156.6,0.05,93.69,0.44,-23.18
196,,2022,1,9,4,100.38,7.18,156.3,8.65,156.3,0.05,94.66,0.45,-23.06
197,,2022,1,9,5,100.36,7.26,155.4,8.74,155.5,0.08,94.92,0.45,-23.09
198,,2022,1,9,6,100.33,7.37,154.0,8.86,154.0,0.12,95.74,0.45,-23.18
199,,2022,1,9,7,100.31,7.49,152.1,8.98,152.1,0.14,96.18,0.45,-23.23
200,,2022,1,9,8,100.27,7.59,150.5,9.09,150.5,0.15,96.72,0.45,-23.29
201,,2022,1,9,9,100.25,7.67,149.2,9.18,149.2,0.15,97.28,0.45,-23.35
202,,2022,1,9,10,100.25,7.73,147.8,9.24,147.8,0.15,97.76,0.45,-23.4
203,,2022,1,9,11,100.24,7.75,146.1,9.28,146.2,0.14,97.46,0.45,-23.37
204,,2022,1,9,12,100.23,7.86,144.8,9.42,144.8,0.14,96.5,0.45,-23.27
205,,2022,1,9,13,100.24,7.98,144.0,9.58,144.0,0.15,95.08,0.45,-23.12
206,,2022,1,9,14,100.24,8.05,143.3,9.67,143.3,0.28,95.59,0.46,-22.95
207,,2022,1,9,15,100.25,8.14,142.5,9.79,142.5,1.02,95.58,0.47,-22.73
208,,2022,1,9,16,100.26,8.23,142.3,9.91,142.2,2.25,94.89,0.48,-22.44
209,,2022,1,9,17,100.29,8.31,142.5,10.0,142.4,3.17,95.74,0.5,-22.11
210,,2022,1,9,18,100.31,8.32,142.7,10.02,142.7,3.7,95.23,0.51,-21.85
211,,2022,1,9,19,100.33,8.26,142.2,9.95,142.2,3.96,95.15,0.52,-21.64
212,,2022,1,9,20,100.35,8.22,141.6,9.89,141.6,3.98,95.51,0.53,-21.48
213,,2022,1,9,21,100.38,8.14,141.1,9.8,141.1,3.95,93.98,0.53,-21.31
214,,2022,1,9,22,100.41,8.03,140.4,9.65,140.4,3.86,94.11,0.54,-21.13
215,,2022,1,9,23,100.42,7.8,139.6,9.38,139.6,2.76,94.21,0.55,-20.95
216,,2022,1,10,0,100.43,7.61,139.0,9.14,139.1,2.08,94.45,0.56,-20.79
217,,2022,1,10,1,100.43,7.45,139.1,8.95,139.1,1.82,95.13,0.57,-20.68
218,,2022,1,10,2,100.44,7.24,139.6,8.69,139.6,1.51,94.41,0.57,-20.6
219,,2022,1,10,3,100.43,6.91,140.5,8.3,140.4,1.1,95.32,0.58,-20.52
220,,2022,1,10,4,100.42,6.49,140.9,7.81,140.9,0.73,96.02,0.59,-20.42
221,,2022,1,10,5,100.4,6.11,140.2,7.38,140.2,0.52,96.5,0.6,-20.3
222,,2022,1,10,6,100.42,5.81,139.8,7.03,139.8,0.44,95.87,0.6,-20.23
