YEAR,MO,HR,PM2.5
2022,9,8,29.678434585714285
2022,9,9,26.118384821379312
2022,9,10,22.648508195862068
2022,9,11,19.15011226236667
2022,9,12,17.60129593037931
2022,9,13,16.071960456551725
2022,9,14,15.411960969966666
2022,9,15,15.101004504366667
2022,9,16,16.8876167219
2022,9,17,19.608568075999997
2022,9,18,23.618431608965516
2022,9,19,27.94566701448276
2022,9,20,26.328664915827588
2022,9,21,25.968147587448275
2022,9,22,25.10949998572414
2022,9,23,23.765943991034483
2022,10,0,19.90928157638889
2022,10,1,18.9603495355
2022,10,2,18.213636885055553
2022,10,3,17.747975262882353
2022,10,4,19.314608501
2022,10,5,22.040672741058824
2022,10,6,27.558922627999998
2022,10,7,28.605851819222224
2022,10,8,28.2080460145
2022,10,9,22.411828337333333
2022,10,10,17.285125820222223
